CONTENT_TYPE_ID,CREATED_AT,ID,PUBLISHED,PUBLISHED_AT,PUBLISH_AT,UPDATED_AT,_SDC_BATCHED_AT,_SDC_RECEIVED_AT,_SDC_SEQUENCE,_SDC_TABLE_VERSION
12,2025-06-27 11:44:14.674000000 +00:00,468927,true,2025-06-27 11:44:14.688000000 +00:00,,2025-06-27 11:44:14.691000000 +00:00,2025-09-17 22:10:58.107000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147021985704567,1758147013551
12,2025-07-18 09:26:59.442000000 +00:00,717161,true,2025-07-18 09:26:59.462000000 +00:00,,2025-07-18 09:26:59.475000000 +00:00,2025-09-17 22:11:05.452000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147025669827717,1758147013551
12,2025-05-29 23:33:33.680000000 +00:00,133630,true,2025-05-29 23:33:33.696000000 +00:00,,2025-05-29 23:33:33.699000000 +00:00,2025-09-17 22:10:47.849000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147016811808273,1758147013551
12,2025-06-27 10:46:35.640000000 +00:00,376601,true,2025-06-27 10:46:35.650000000 +00:00,,2025-06-27 10:46:35.654000000 +00:00,2025-09-17 22:10:55.214000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147020568277139,1758147013551
12,2025-05-29 22:50:08.139000000 +00:00,72293,true,2025-05-29 22:50:08.156000000 +00:00,,2025-05-29 22:50:08.159000000 +00:00,2025-09-17 22:10:45.968000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147014971863661,1758147013551
12,2025-07-11 10:06:28.944000000 +00:00,595692,true,2025-07-11 10:06:28.965000000 +00:00,,2025-07-11 10:06:28.968000000 +00:00,2025-09-17 22:11:01.868000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147023894549082,1758147013551
12,2025-07-25 18:36:54.096000000 +00:00,831996,true,2025-07-25 18:36:54.114000000 +00:00,,2025-07-25 18:36:54.117000000 +00:00,2025-09-17 22:11:08.823000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147027423379382,1758147013551
12,2025-07-11 10:43:10.162000000 +00:00,653073,true,2025-07-11 10:43:10.185000000 +00:00,,2025-07-11 10:43:10.190000000 +00:00,2025-09-17 22:11:03.553000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147024738658974,1758147013551
12,2025-07-11 11:04:33.725000000 +00:00,686120,true,2025-07-11 11:04:33.741000000 +00:00,,2025-07-11 11:04:33.744000000 +00:00,2025-09-17 22:11:04.530000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147025258846747,1758147013551
12,2025-05-29 22:57:19.643000000 +00:00,83809,true,2025-05-29 22:57:19.657000000 +00:00,,2025-05-29 22:57:19.660000000 +00:00,2025-09-17 22:10:46.307000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147015173470506,1758147013551
12,2025-07-11 09:44:22.333000000 +00:00,565917,true,2025-07-11 09:44:22.354000000 +00:00,,2025-07-11 09:44:22.357000000 +00:00,2025-09-17 22:11:00.992000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147023466345481,1758147013551
12,2025-05-29 22:28:14.688000000 +00:00,42610,true,2025-05-29 22:28:14.699000000 +00:00,,2025-05-29 22:28:14.702000000 +00:00,2025-09-17 22:10:45.087000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147014601693288,1758147013551
12,2025-06-25 10:27:10.478000000 +00:00,204678,true,2025-06-25 10:27:10.488000000 +00:00,,2025-06-25 10:27:10.491000000 +00:00,2025-09-17 22:10:49.936000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147017967141657,1758147013551
12,2025-07-18 10:13:10.941000000 +00:00,758018,true,2025-07-18 10:13:10.958000000 +00:00,,2025-07-18 10:13:10.961000000 +00:00,2025-09-17 22:11:06.651000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147026255855367,1758147013551
12,2025-07-11 10:41:48.084000000 +00:00,650437,true,2025-07-11 10:41:48.096000000 +00:00,,2025-07-11 10:41:48.099000000 +00:00,2025-09-17 22:11:03.476000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147024713425056,1758147013551
12,2025-06-25 09:53:23.990000000 +00:00,146638,true,2025-06-25 09:53:24.008000000 +00:00,,2025-06-25 09:53:24.011000000 +00:00,2025-09-17 22:10:48.229000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147017050251935,1758147013551
12,2025-06-25 10:04:14.660000000 +00:00,164913,true,2025-06-25 10:04:14.670000000 +00:00,,2025-06-25 10:04:14.673000000 +00:00,2025-09-17 22:10:48.766000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147017338746525,1758147013551
12,2025-07-11 09:17:48.316000000 +00:00,539233,true,2025-07-11 09:17:48.332000000 +00:00,,2025-07-11 09:17:48.335000000 +00:00,2025-09-17 22:11:00.173000000 +00:00,2025-09-17 22:10:30.883000000 +00:00,1758147022994389712,1758147013551
