DATE,METRIC_NAME,METRIC_VALUE,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2023-06-01,ACTIVE_MONTHLY_SUBSCRIBERS,17612,37,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-02,ACTIVE_MONTHLY_SUBSCRIBERS,17610,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-03,ACTIVE_MONTHLY_SUBSCRIBERS,17611,1,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-04,ACTIVE_MONTHLY_SUBSCRIBERS,17613,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-05,ACTIVE_MONTHLY_SUBSCRIBERS,17620,7,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-06,ACTIVE_MONTHLY_SUBSCRIBERS,17651,31,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-07,ACTIVE_MONTHLY_SUBSCRIBERS,17669,18,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-08,ACTIVE_MONTHLY_SUBSCRIBERS,17686,17,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-09,ACTIVE_MONTHLY_SUBSCRIBERS,17683,3,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-10,ACTIVE_MONTHLY_SUBSCRIBERS,17661,22,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-11,ACTIVE_MONTHLY_SUBSCRIBERS,17677,16,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-12,ACTIVE_MONTHLY_SUBSCRIBERS,17687,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-13,ACTIVE_MONTHLY_SUBSCRIBERS,17687,0,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-14,ACTIVE_MONTHLY_SUBSCRIBERS,17680,7,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-15,ACTIVE_MONTHLY_SUBSCRIBERS,17681,1,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-16,ACTIVE_MONTHLY_SUBSCRIBERS,17674,7,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-17,ACTIVE_MONTHLY_SUBSCRIBERS,17645,29,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-18,ACTIVE_MONTHLY_SUBSCRIBERS,17628,17,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-19,ACTIVE_MONTHLY_SUBSCRIBERS,17644,16,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-20,ACTIVE_MONTHLY_SUBSCRIBERS,17661,17,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-21,ACTIVE_MONTHLY_SUBSCRIBERS,17689,28,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-22,ACTIVE_MONTHLY_SUBSCRIBERS,17715,26,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-23,ACTIVE_MONTHLY_SUBSCRIBERS,17705,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-24,ACTIVE_MONTHLY_SUBSCRIBERS,17677,28,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-25,ACTIVE_MONTHLY_SUBSCRIBERS,17681,4,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-26,ACTIVE_MONTHLY_SUBSCRIBERS,17691,10,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-27,ACTIVE_MONTHLY_SUBSCRIBERS,17695,4,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-28,ACTIVE_MONTHLY_SUBSCRIBERS,17714,19,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-29,ACTIVE_MONTHLY_SUBSCRIBERS,17706,8,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-06-30,ACTIVE_MONTHLY_SUBSCRIBERS,17685,21,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-07-01,ACTIVE_MONTHLY_SUBSCRIBERS,17648,37,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-07-02,ACTIVE_MONTHLY_SUBSCRIBERS,17593,55,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,true,true
2023-07-03,ACTIVE_MONTHLY_SUBSCRIBERS,17599,6,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-07-04,ACTIVE_MONTHLY_SUBSCRIBERS,17599,0,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-07-05,ACTIVE_MONTHLY_SUBSCRIBERS,17618,19,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-07-06,ACTIVE_MONTHLY_SUBSCRIBERS,17620,2,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-07-07,ACTIVE_MONTHLY_SUBSCRIBERS,17598,22,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-07-08,ACTIVE_MONTHLY_SUBSCRIBERS,17568,30,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-07-09,ACTIVE_MONTHLY_SUBSCRIBERS,17544,24,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
2023-07-10,ACTIVE_MONTHLY_SUBSCRIBERS,17555,11,11743.26,12.14,11775.56,11710.95,39.68,true,true,true,false,true
