DATE,METRIC_NAME,YOY_DELTA,MR,X_BAR,MR_BAR,UNPL,LNPL,URL,SIGNAL_RULE_1,SIGNAL_RULE_2,SIGNAL_RULE_3,MR_SIGNAL,ANY_SIGNAL
2024-06-14,DELTA_ACTIVE_SUBSCRIBERS,-5847,17,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-15,DELTA_ACTIVE_SUBSCRIBERS,-5857,10,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-16,DELTA_ACTIVE_SUBSCRIBERS,-5827,30,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-17,DELTA_ACTIVE_SUBSCRIBERS,-5792,35,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-18,DELTA_ACTIVE_SUBSCRIBERS,-5803,11,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-19,DELTA_ACTIVE_SUBSCRIBERS,-5825,22,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-20,DELTA_ACTIVE_SUBSCRIBERS,-5887,62,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-21,DELTA_ACTIVE_SUBSCRIBERS,-5912,25,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-22,DELTA_ACTIVE_SUBSCRIBERS,-5924,12,-5972.39,20.62,-5917.55,-6027.23,67.35,false,true,true,false,true
2024-06-23,DELTA_ACTIVE_SUBSCRIBERS,-5905,19,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-24,DELTA_ACTIVE_SUBSCRIBERS,-5901,4,-5972.39,20.62,-5917.55,-6027.23,67.35,true,true,true,false,true
2024-06-25,DELTA_ACTIVE_SUBSCRIBERS,-5944,43,-5972.39,20.62,-5917.55,-6027.23,67.35,false,true,false,false,true
2024-06-26,DELTA_ACTIVE_SUBSCRIBERS,-5976,32,-5972.39,20.62,-5917.55,-6027.23,67.35,false,false,false,false,false
2024-06-27,DELTA_ACTIVE_SUBSCRIBERS,-6005,29,-5972.39,20.62,-5917.55,-6027.23,67.35,false,false,false,false,false
2024-06-28,DELTA_ACTIVE_SUBSCRIBERS,-6008,3,-5972.39,20.62,-5917.55,-6027.23,67.35,false,false,false,false,false
2024-06-29,DELTA_ACTIVE_SUBSCRIBERS,-5992,16,-5972.39,20.62,-5917.55,-6027.23,67.35,false,false,false,false,false
2024-06-30,DELTA_ACTIVE_SUBSCRIBERS,-5967,25,-5972.39,20.62,-5917.55,-6027.23,67.35,false,false,false,false,false
2024-07-01,DELTA_ACTIVE_SUBSCRIBERS,-5874,93,-5972.39,20.62,-5917.55,-6027.23,67.35,true,false,true,true,true
2024-07-02,DELTA_ACTIVE_SUBSCRIBERS,-5916,42,-5972.39,20.62,-5917.55,-6027.23,67.35,true,false,true,false,true
2024-07-03,DELTA_ACTIVE_SUBSCRIBERS,-5935,19,-5972.39,20.62,-5917.55,-6027.23,67.35,false,false,true,false,true
2024-07-04,DELTA_ACTIVE_SUBSCRIBERS,-5977,42,-5972.39,20.62,-5917.55,-6027.23,67.35,false,false,false,false,false
